Data sorteio: 11/03/1996; Acumulou: sim; Número do Concurso: 1; Dezenas Sorteadas: 41, 05, 04, 52, 30, 33
Data sorteio: 23/03/1997; Acumulou: sim; Número do Concurso: 55; Dezenas Sorteadas: 29, 02, 14, 38, 23, 52
Data sorteio: 30/03/1997; Acumulou: sim; Número do Concurso: 56; Dezenas Sorteadas: 51, 35, 59, 07, 20, 02
Data sorteio: 06/04/1997; Acumulou: sim; Número do Concurso: 57; Dezenas Sorteadas: 27, 17, 16, 34, 07, 59
Data sorteio: 13/04/1997; Acumulou: não; Número do Concurso: 58; Dezenas Sorteadas: 30, 49, 27, 37, 12, 44
Data sorteio: 20/04/1997; Acumulou: sim; Número do Concurso: 59; Dezenas Sorteadas: 28, 13, 34, 02, 08, 54
Data sorteio: 27/04/1997; Acumulou: sim; Número do Concurso: 60; Dezenas Sorteadas: 38, 14, 21, 15, 03, 20
Data sorteio: 04/05/1997; Acumulou: sim; Número do Concurso: 61; Dezenas Sorteadas: 59, 08, 18, 29, 42, 44
Data sorteio: 11/05/1997; Acumulou: sim; Número do Concurso: 62; Dezenas Sorteadas: 52, 13, 06, 24, 08, 31
Data sorteio: 18/05/1997; Acumulou: não; Número do Concurso: 63; Dezenas Sorteadas: 26, 09, 41, 49, 25, 40
Data sorteio: 25/05/1997; Acumulou: sim; Número do Concurso: 64; Dezenas Sorteadas: 08, 54, 50, 60, 23, 12
Data sorteio: 01/06/1997; Acumulou: sim; Número do Concurso: 65; Dezenas Sorteadas: 20, 01, 05, 32, 25, 34
Data sorteio: 08/06/1997; Acumulou: sim; Número do Concurso: 66; Dezenas Sorteadas: 15, 26, 12, 33, 48, 13
Data sorteio: 15/06/1997; Acumulou: sim; Número do Concurso: 67; Dezenas Sorteadas: 47, 14, 27, 52, 17, 12
Data sorteio: 22/06/1997; Acumulou: sim; Número do Concurso: 68; Dezenas Sorteadas: 53, 13, 03, 01, 12, 59
Data sorteio: 29/06/1997; Acumulou: sim; Número do Concurso: 69; Dezenas Sorteadas: 56, 58, 34, 53, 25, 45
Data sorteio: 06/07/1997; Acumulou: sim; Número do Concurso: 70; Dezenas Sorteadas: 40, 17, 23, 43, 27, 58
Data sorteio: 13/07/1997; Acumulou: sim; Número do Concurso: 71; Dezenas Sorteadas: 53, 16, 45, 43, 33, 27
Data sorteio: 20/07/1997; Acumulou: sim; Número do Concurso: 72; Dezenas Sorteadas: 19, 48, 43, 01, 34, 44
Data sorteio: 27/07/1997; Acumulou: não; Número do Concurso: 73; Dezenas Sorteadas: 57, 25, 45, 28, 51, 26
Data sorteio: 03/08/1997; Acumulou: sim; Número do Concurso: 74; Dezenas Sorteadas: 02, 24, 34, 50, 38, 37
Data sorteio: 10/08/1997; Acumulou: sim; Número do Concurso: 75; Dezenas Sorteadas: 36, 49, 37, 35, 24, 21
Data sorteio: 17/08/1997; Acumulou: sim; Número do Concurso: 76; Dezenas Sorteadas: 33, 18, 23, 08, 17, 53
Data sorteio: 24/08/1997; Acumulou: sim; Número do Concurso: 77; Dezenas Sorteadas: 29, 54, 40, 57, 49, 21
Data sorteio: 31/08/1997; Acumulou: sim; Número do Concurso: 78; Dezenas Sorteadas: 22, 32, 46, 12, 25, 31
Data sorteio: 07/09/1997; Acumulou: não; Número do Concurso: 79; Dezenas Sorteadas: 43, 25, 02, 13, 31, 17
Data sorteio: 14/09/1997; Acumulou: sim; Número do Concurso: 80; Dezenas Sorteadas: 51, 40, 37, 23, 48, 28
Data sorteio: 21/09/1997; Acumulou: sim; Número do Concurso: 81; Dezenas Sorteadas: 47, 41, 10, 60, 54, 23
Data sorteio: 28/09/1997; Acumulou: não; Número do Concurso: 82; Dezenas Sorteadas: 51, 36, 53, 29, 18, 15
Data sorteio: 05/10/1997; Acumulou: sim; Número do Concurso: 83; Dezenas Sorteadas: 24, 16, 04, 42, 57, 15
Data sorteio: 12/10/1997; Acumulou: sim; Número do Concurso: 84; Dezenas Sorteadas: 10, 34, 04, 06, 25, 40
Data sorteio: 19/10/1997; Acumulou: sim; Número do Concurso: 85; Dezenas Sorteadas: 47, 15, 30, 37, 45, 06
Data sorteio: 26/10/1997; Acumulou: sim; Número do Concurso: 86; Dezenas Sorteadas: 54, 21, 06, 34, 36, 22
Data sorteio: 02/11/1997; Acumulou: sim; Número do Concurso: 87; Dezenas Sorteadas: 40, 04, 28, 32, 11, 05
Data sorteio: 09/11/1997; Acumulou: sim; Número do Concurso: 88; Dezenas Sorteadas: 45, 37, 29, 04, 43, 18
Data sorteio: 16/11/1997; Acumulou: sim; Número do Concurso: 89; Dezenas Sorteadas: 59, 42, 34, 13, 44, 55
Data sorteio: 23/11/1997; Acumulou: não; Número do Concurso: 90; Dezenas Sorteadas: 21, 26, 40, 54, 09, 52
Data sorteio: 30/11/1997; Acumulou: sim; Número do Concurso: 91; Dezenas Sorteadas: 60, 04, 10, 35, 39, 02
Data sorteio: 07/12/1997; Acumulou: sim; Número do Concurso: 92; Dezenas Sorteadas: 05, 23, 51, 03, 01, 24
Data sorteio: 14/12/1997; Acumulou: sim; Número do Concurso: 93; Dezenas Sorteadas: 22, 53, 31, 28, 02, 36
Data sorteio: 21/12/1997; Acumulou: sim; Número do Concurso: 94; Dezenas Sorteadas: 28, 51, 55, 18, 52, 08
Data sorteio: 28/12/1997; Acumulou: sim; Número do Concurso: 95; Dezenas Sorteadas: 46, 60, 06, 40, 50, 45
Data sorteio: 04/01/1998; Acumulou: não; Número do Concurso: 96; Dezenas Sorteadas: 04, 42, 58, 26, 07, 40
Data sorteio: 11/01/1998; Acumulou: não; Número do Concurso: 97; Dezenas Sorteadas: 56, 53, 11, 14, 05, 35
Data sorteio: 18/01/1998; Acumulou: sim; Número do Concurso: 98; Dezenas Sorteadas: 43, 33, 14, 31, 35, 13
Data sorteio: 25/01/1998; Acumulou: sim; Número do Concurso: 99; Dezenas Sorteadas: 30, 33, 24, 11, 46, 60
Data sorteio: 01/02/1998; Acumulou: sim; Número do Concurso: 100; Dezenas Sorteadas: 46, 48, 30, 14, 29, 51
Data sorteio: 08/02/1998; Acumulou: sim; Número do Concurso: 101; Dezenas Sorteadas: 39, 01, 37, 31, 29, 18
Data sorteio: 15/02/1998; Acumulou: não; Número do Concurso: 102; Dezenas Sorteadas: 44, 42, 37, 56, 19, 20
Data sorteio: 22/02/1998; Acumulou: não; Número do Concurso: 103; Dezenas Sorteadas: 09, 01, 57, 07, 54, 49
Data sorteio: 01/03/1998; Acumulou: sim; Número do Concurso: 104; Dezenas Sorteadas: 13, 01, 38, 21, 52, 04
Data sorteio: 08/03/1998; Acumulou: sim; Número do Concurso: 105; Dezenas Sorteadas: 03, 13, 31, 43, 46, 49
Data sorteio: 15/03/1998; Acumulou: sim; Número do Concurso: 106; Dezenas Sorteadas: 24, 16, 38, 05, 39, 35
Data sorteio: 22/03/1998; Acumulou: sim; Número do Concurso: 107; Dezenas Sorteadas: 02, 24, 52, 04, 16, 51
Data sorteio: 29/03/1998; Acumulou: sim; Número do Concurso: 108; Dezenas Sorteadas: 60, 29, 34, 24, 21, 59
Data sorteio: 04/04/1998; Acumulou: sim; Número do Concurso: 109; Dezenas Sorteadas: 54, 13, 44, 49, 48, 01
Data sorteio: 11/04/1998; Acumulou: sim; Número do Concurso: 110; Dezenas Sorteadas: 57, 58, 18, 31, 43, 52
Data sorteio: 18/04/1998; Acumulou: sim; Número do Concurso: 111; Dezenas Sorteadas: 52, 32, 04, 33, 25, 22
Data sorteio: 25/04/1998; Acumulou: não; Número do Concurso: 112; Dezenas Sorteadas: 37, 43, 34, 20, 12, 42
Data sorteio: 02/05/1998; Acumulou: sim; Número do Concurso: 113; Dezenas Sorteadas: 34, 54, 26, 28, 55, 07
Data sorteio: 09/05/1998; Acumulou: sim; Número do Concurso: 114; Dezenas Sorteadas: 47, 54, 18, 06, 12, 37
Data sorteio: 16/05/1998; Acumulou: sim; Número do Concurso: 115; Dezenas Sorteadas: 06, 14, 24, 20, 04, 38
Data sorteio: 23/05/1998; Acumulou: sim; Número do Concurso: 116; Dezenas Sorteadas: 36, 42, 32, 05, 13, 51
Data sorteio: 30/05/1998; Acumulou: sim; Número do Concurso: 117; Dezenas Sorteadas: 53, 42, 27, 20, 33, 25
Data sorteio: 06/06/1998; Acumulou: sim; Número do Concurso: 118; Dezenas Sorteadas: 22, 57, 37, 09, 25, 56
Data sorteio: 13/06/1998; Acumulou: sim; Número do Concurso: 119; Dezenas Sorteadas: 47, 21, 01, 50, 36, 38
Data sorteio: 20/06/1998; Acumulou: sim; Número do Concurso: 120; Dezenas Sorteadas: 46, 45, 16, 40, 27, 03
Data sorteio: 27/06/1998; Acumulou: sim; Número do Concurso: 121; Dezenas Sorteadas: 53, 41, 44, 02, 29, 55
Data sorteio: 04/07/1998; Acumulou: sim; Número do Concurso: 122; Dezenas Sorteadas: 20, 43, 39, 11, 53, 17
Data sorteio: 11/07/1998; Acumulou: sim; Número do Concurso: 123; Dezenas Sorteadas: 13, 42, 16, 32, 14, 26
Data sorteio: 18/07/1998; Acumulou: não; Número do Concurso: 124; Dezenas Sorteadas: 52, 05, 34, 57, 15, 41
Data sorteio: 25/07/1998; Acumulou: sim; Número do Concurso: 125; Dezenas Sorteadas: 56, 47, 25, 59, 53, 41
Data sorteio: 01/08/1998; Acumulou: sim; Número do Concurso: 126; Dezenas Sorteadas: 32, 28, 06, 10, 11, 40
Data sorteio: 08/08/1998; Acumulou: sim; Número do Concurso: 127; Dezenas Sorteadas: 59, 21, 51, 54, 29, 50
Data sorteio: 15/08/1998; Acumulou: sim; Número do Concurso: 128; Dezenas Sorteadas: 23, 43, 03, 21, 09, 18
Data sorteio: 22/08/1998; Acumulou: sim; Número do Concurso: 129; Dezenas Sorteadas: 46, 54, 10, 09, 01, 32
Data sorteio: 29/08/1998; Acumulou: sim; Número do Concurso: 130; Dezenas Sorteadas: 13, 42, 38, 49, 53, 29
Data sorteio: 05/09/1998; Acumulou: sim; Número do Concurso: 131; Dezenas Sorteadas: 30, 09, 17, 27, 04, 44
Data sorteio: 12/09/1998; Acumulou: sim; Número do Concurso: 132; Dezenas Sorteadas: 44, 35, 50, 41, 09, 07
Data sorteio: 19/09/1998; Acumulou: não; Número do Concurso: 133; Dezenas Sorteadas: 19, 57, 06, 39, 34, 05
Data sorteio: 26/09/1998; Acumulou: sim; Número do Concurso: 134; Dezenas Sorteadas: 60, 32, 25, 36, 52, 04
Data sorteio: 03/10/1998; Acumulou: sim; Número do Concurso: 135; Dezenas Sorteadas: 35, 40, 21, 59, 53, 22
Data sorteio: 10/10/1998; Acumulou: sim; Número do Concurso: 136; Dezenas Sorteadas: 17, 25, 45, 38, 01, 59
Data sorteio: 17/10/1998; Acumulou: sim; Número do Concurso: 137; Dezenas Sorteadas: 26, 15, 16, 22, 19, 49
Data sorteio: 24/10/1998; Acumulou: sim; Número do Concurso: 138; Dezenas Sorteadas: 41, 14, 37, 05, 40, 27
Data sorteio: 31/10/1998; Acumulou: não; Número do Concurso: 139; Dezenas Sorteadas: 26, 27, 13, 42, 41, 03
Data sorteio: 07/11/1998; Acumulou: sim; Número do Concurso: 140; Dezenas Sorteadas: 55, 31, 46, 44, 41, 07
Data sorteio: 14/11/1998; Acumulou: sim; Número do Concurso: 141; Dezenas Sorteadas: 10, 22, 42, 13, 41, 58
Data sorteio: 21/11/1998; Acumulou: sim; Número do Concurso: 142; Dezenas Sorteadas: 20, 59, 19, 54, 15, 08
Data sorteio: 28/11/1998; Acumulou: sim; Número do Concurso: 143; Dezenas Sorteadas: 40, 18, 06, 20, 50, 53
Data sorteio: 05/12/1998; Acumulou: não; Número do Concurso: 144; Dezenas Sorteadas: 08, 32, 44, 36, 45, 55
Data sorteio: 12/12/1998; Acumulou: sim; Número do Concurso: 145; Dezenas Sorteadas: 43, 15, 41, 51, 16, 31
Data sorteio: 19/12/1998; Acumulou: sim; Número do Concurso: 146; Dezenas Sorteadas: 51, 34, 25, 60, 42, 32
Data sorteio: 24/12/1998; Acumulou: não; Número do Concurso: 147; Dezenas Sorteadas: 24, 06, 38, 23, 28, 16
Data sorteio: 31/12/1998; Acumulou: sim; Número do Concurso: 148; Dezenas Sorteadas: 32, 55, 59, 41, 58, 35
Data sorteio: 09/01/1999; Acumulou: sim; Número do Concurso: 149; Dezenas Sorteadas: 11, 45, 48, 07, 28, 20
Data sorteio: 16/01/1999; Acumulou: sim; Número do Concurso: 150; Dezenas Sorteadas: 50, 44, 12, 55, 52, 54
Data sorteio: 23/01/1999; Acumulou: não; Número do Concurso: 151; Dezenas Sorteadas: 03, 43, 16, 56, 52, 20
Data sorteio: 30/01/1999; Acumulou: sim; Número do Concurso: 152; Dezenas Sorteadas: 12, 05, 15, 51, 58, 29
Data sorteio: 06/02/1999; Acumulou: sim; Número do Concurso: 153; Dezenas Sorteadas: 47, 02, 31, 42, 45, 30
Data sorteio: 13/02/1999; Acumulou: sim; Número do Concurso: 154; Dezenas Sorteadas: 08, 10, 24, 33, 45, 48
Data sorteio: 20/02/1999; Acumulou: não; Número do Concurso: 155; Dezenas Sorteadas: 12, 32, 44, 43, 35, 30
Data sorteio: 27/02/1999; Acumulou: sim; Número do Concurso: 156; Dezenas Sorteadas: 52, 23, 42, 17, 55, 49
Data sorteio: 06/03/1999; Acumulou: não; Número do Concurso: 157; Dezenas Sorteadas: 17, 13, 04, 44, 41, 21
Data sorteio: 13/03/1999; Acumulou: sim; Número do Concurso: 158; Dezenas Sorteadas: 58, 43, 51, 14, 17, 04
Data sorteio: 20/03/1999; Acumulou: não; Número do Concurso: 159; Dezenas Sorteadas: 16, 09, 50, 58, 11, 35
Data sorteio: 27/03/1999; Acumulou: sim; Número do Concurso: 160; Dezenas Sorteadas: 13, 42, 52, 58, 02, 54
Data sorteio: 03/04/1999; Acumulou: sim; Número do Concurso: 161; Dezenas Sorteadas: 25, 37, 30, 39, 06, 41
Data sorteio: 10/04/1999; Acumulou: sim; Número do Concurso: 162; Dezenas Sorteadas: 23, 33, 51, 38, 48, 21
Data sorteio: 17/04/1999; Acumulou: não; Número do Concurso: 163; Dezenas Sorteadas: 41, 56, 27, 36, 53, 08
Data sorteio: 24/04/1999; Acumulou: sim; Número do Concurso: 164; Dezenas Sorteadas: 04, 19, 14, 10, 44, 28
Data sorteio: 01/05/1999; Acumulou: não; Número do Concurso: 165; Dezenas Sorteadas: 39, 56, 19, 23, 10, 35
Data sorteio: 08/05/1999; Acumulou: sim; Número do Concurso: 166; Dezenas Sorteadas: 60, 57, 59, 13, 12, 22
Data sorteio: 15/05/1999; Acumulou: não; Número do Concurso: 167; Dezenas Sorteadas: 01, 38, 48, 28, 11, 33
Data sorteio: 22/05/1999; Acumulou: sim; Número do Concurso: 168; Dezenas Sorteadas: 45, 02, 35, 09, 50, 31
Data sorteio: 29/05/1999; Acumulou: sim; Número do Concurso: 169; Dezenas Sorteadas: 52, 51, 37, 13, 21, 01
Data sorteio: 05/06/1999; Acumulou: sim; Número do Concurso: 170; Dezenas Sorteadas: 07, 51, 55, 41, 58, 46
Data sorteio: 12/06/1999; Acumulou: não; Número do Concurso: 171; Dezenas Sorteadas: 54, 27, 04, 43, 40, 46
Data sorteio: 19/06/1999; Acumulou: sim; Número do Concurso: 172; Dezenas Sorteadas: 49, 36, 14, 26, 35, 10
Data sorteio: 26/06/1999; Acumulou: não; Número do Concurso: 173; Dezenas Sorteadas: 29, 28, 49, 17, 42, 50
Data sorteio: 03/07/1999; Acumulou: sim; Número do Concurso: 174; Dezenas Sorteadas: 11, 52, 22, 23, 36, 59
Data sorteio: 10/07/1999; Acumulou: sim; Número do Concurso: 175; Dezenas Sorteadas: 10, 20, 13, 01, 42, 50
Data sorteio: 17/07/1999; Acumulou: sim; Número do Concurso: 176; Dezenas Sorteadas: 28, 04, 01, 45, 53, 03
Data sorteio: 24/07/1999; Acumulou: sim; Número do Concurso: 177; Dezenas Sorteadas: 35, 22, 39, 41, 59, 38
Data sorteio: 31/07/1999; Acumulou: não; Número do Concurso: 178; Dezenas Sorteadas: 05, 27, 19, 26, 15, 33
Data sorteio: 07/08/1999; Acumulou: sim; Número do Concurso: 179; Dezenas Sorteadas: 06, 53, 05, 26, 27, 23
Data sorteio: 14/08/1999; Acumulou: sim; Número do Concurso: 180; Dezenas Sorteadas: 39, 06, 29, 60, 51, 23
Data sorteio: 21/08/1999; Acumulou: sim; Número do Concurso: 181; Dezenas Sorteadas: 33, 01, 55, 35, 51, 27
Data sorteio: 28/08/1999; Acumulou: sim; Número do Concurso: 182; Dezenas Sorteadas: 46, 60, 05, 10, 28, 03
Data sorteio: 04/09/1999; Acumulou: sim; Número do Concurso: 183; Dezenas Sorteadas: 16, 11, 07, 40, 44, 02
Data sorteio: 11/09/1999; Acumulou: sim; Número do Concurso: 184; Dezenas Sorteadas: 09, 60, 21, 16, 41, 34
Data sorteio: 18/09/1999; Acumulou: sim; Número do Concurso: 185; Dezenas Sorteadas: 59, 17, 22, 46, 43, 55
Data sorteio: 25/09/1999; Acumulou: sim; Número do Concurso: 186; Dezenas Sorteadas: 24, 26, 51, 25, 14, 23
Data sorteio: 02/10/1999; Acumulou: sim; Número do Concurso: 187; Dezenas Sorteadas: 06, 44, 58, 41, 36, 48
Data sorteio: 10/10/1999; Acumulou: não; Número do Concurso: 188; Dezenas Sorteadas: 34, 42, 43, 46, 27, 17
Data sorteio: 16/10/1999; Acumulou: sim; Número do Concurso: 189; Dezenas Sorteadas: 41, 53, 38, 04, 31, 15
Data sorteio: 24/10/1999; Acumulou: sim; Número do Concurso: 190; Dezenas Sorteadas: 32, 40, 42, 21, 10, 05
Data sorteio: 31/10/1999; Acumulou: não; Número do Concurso: 191; Dezenas Sorteadas: 58, 05, 41, 03, 01, 23
Data sorteio: 06/11/1999; Acumulou: sim; Número do Concurso: 192; Dezenas Sorteadas: 01, 60, 26, 41, 28, 54
Data sorteio: 13/11/1999; Acumulou: sim; Número do Concurso: 193; Dezenas Sorteadas: 12, 04, 11, 49, 43, 19
Data sorteio: 20/11/1999; Acumulou: sim; Número do Concurso: 194; Dezenas Sorteadas: 32, 42, 43, 25, 28, 33
Data sorteio: 27/11/1999; Acumulou: não; Número do Concurso: 195; Dezenas Sorteadas: 17, 03, 44, 37, 09, 32
Data sorteio: 04/12/1999; Acumulou: sim; Número do Concurso: 196; Dezenas Sorteadas: 32, 17, 09, 14, 24, 07
Data sorteio: 11/12/1999; Acumulou: sim; Número do Concurso: 197; Dezenas Sorteadas: 19, 52, 29, 15, 12, 05
Data sorteio: 18/12/1999; Acumulou: sim; Número do Concurso: 198; Dezenas Sorteadas: 40, 23, 01, 18, 35, 08
Data sorteio: 24/12/1999; Acumulou: não; Número do Concurso: 199; Dezenas Sorteadas: 52, 37, 57, 16, 10, 50
Data sorteio: 31/12/1999; Acumulou: não; Número do Concurso: 200; Dezenas Sorteadas: 12, 15, 44, 34, 51, 19
Data sorteio: 08/01/2000; Acumulou: não; Número do Concurso: 201; Dezenas Sorteadas: 55, 22, 05, 30, 35, 20
Data sorteio: 15/01/2000; Acumulou: sim; Número do Concurso: 202; Dezenas Sorteadas: 49, 53, 44, 12, 24, 45
Data sorteio: 22/01/2000; Acumulou: sim; Número do Concurso: 203; Dezenas Sorteadas: 11, 55, 44, 19, 29, 47
Data sorteio: 29/01/2000; Acumulou: sim; Número do Concurso: 204; Dezenas Sorteadas: 31, 41, 51, 39, 58, 29
Data sorteio: 05/02/2000; Acumulou: não; Número do Concurso: 205; Dezenas Sorteadas: 26, 32, 54, 43, 46, 40
Data sorteio: 12/02/2000; Acumulou: sim; Número do Concurso: 206; Dezenas Sorteadas: 20, 26, 56, 18, 34, 51
Data sorteio: 19/02/2000; Acumulou: sim; Número do Concurso: 207; Dezenas Sorteadas: 19, 07, 03, 55, 24, 53
Data sorteio: 26/02/2000; Acumulou: sim; Número do Concurso: 208; Dezenas Sorteadas: 23, 15, 57, 24, 47, 25
Data sorteio: 04/03/2000; Acumulou: sim; Número do Concurso: 209; Dezenas Sorteadas: 13, 52, 32, 41, 21, 26
Data sorteio: 11/03/2000; Acumulou: sim; Número do Concurso: 210; Dezenas Sorteadas: 37, 58, 20, 38, 48, 32
Data sorteio: 18/03/2000; Acumulou: sim; Número do Concurso: 211; Dezenas Sorteadas: 10, 20, 40, 45, 50, 33
Data sorteio: 25/03/2000; Acumulou: sim; Número do Concurso: 212; Dezenas Sorteadas: 29, 57, 15, 45, 59, 06
Data sorteio: 01/04/2000; Acumulou: não; Número do Concurso: 213; Dezenas Sorteadas: 03, 30, 09, 35, 23, 32
Data sorteio: 08/04/2000; Acumulou: sim; Número do Concurso: 214; Dezenas Sorteadas: 30, 12, 06, 50, 35, 31
Data sorteio: 15/04/2000; Acumulou: sim; Número do Concurso: 215; Dezenas Sorteadas: 07, 58, 28, 53, 37, 46
